Epoch 0, lr 0.001
(32,220) epoch loss : 0.018837
Epoch 33, lr 0.001

(33,220) 0 step loss : 0.001169
(33,220) epoch loss : 0.018700
Epoch 34, lr 0.001

(34,220) 0 step loss : 0.001156
(34,220) epoch loss : 0.018504
Epoch 35, lr 0.001

(35,220) 0 step loss : 0.001147
(35,220) epoch loss : 0.018358
Epoch 36, lr 0.001

(36,220) 0 step loss : 0.001141
(36,220) epoch loss : 0.018250
Epoch 37, lr 0.001

(37,220) 0 step loss : 0.001134
(37,220) epoch loss : 0.018139
Epoch 38, lr 0.001

(38,220) 0 step loss : 0.001124
(38,220) epoch loss : 0.017978
Epoch 39, lr 0.001

(39,220) 0 step loss : 0.001116
(39,220) epoch loss : 0.017853
Epoch 40, lr 0.001

(40,220) 0 step loss : 0.001108
(40,220) epoch loss : 0.017721
Epoch 41, lr 0.001

(41,220) 0 step loss : 0.001099
(41,220) epoch loss : 0.017588
Epoch 42, lr 0.001

(42,220) 0 step loss : 0.001097
(42,220) epoch loss : 0.017552
Epoch 43, lr 0.001

(43,220) 0 step loss : 0.001091
(43,220) epoch loss : 0.017455
Epoch 44, lr 0.001

(44,220) 0 step loss : 0.001082
(44,220) epoch loss : 0.017306
Epoch 45, lr 0.001

(45,220) 0 step loss : 0.001075
(45,220) epoch loss : 0.017199
Epoch 46, lr 0.001

(46,220) 0 step loss : 0.001076
(46,220) epoch loss : 0.017221
Epoch 47, lr 0.001

(47,220) 0 step loss : 0.001067
(47,220) epoch loss : 0.017069
Epoch 48, lr 0.001

(48,220) 0 step loss : 0.001065
(48,220) epoch loss : 0.017042
Epoch 49, lr 0.001

(49,220) 0 step loss : 0.001053
(49,220) epoch loss : 0.016849
Epoch 50, lr 0.001

(50,220) 0 step loss : 0.001059
(50,220) epoch loss : 0.016941
Epoch 51, lr 0.001

(51,220) 0 step loss : 0.001054
(51,220) epoch loss : 0.016860
Epoch 52, lr 0.001

(52,220) 0 step loss : 0.001046
(52,220) epoch loss : 0.016732
Epoch 53, lr 0.001

(53,220) 0 step loss : 0.001044
(53,220) epoch loss : 0.016704
Epoch 54, lr 0.001

(54,220) 0 step loss : 0.001042
(54,220) epoch loss : 0.016668
Epoch 55, lr 0.001

(55,220) 0 step loss : 0.001040
(55,220) epoch loss : 0.016644
Epoch 56, lr 0.001

(56,220) 0 step loss : 0.001034
(56,220) epoch loss : 0.016538
Epoch 57, lr 0.001

(57,220) 0 step loss : 0.001028
(57,220) epoch loss : 0.016454
Epoch 58, lr 0.001

(58,220) 0 step loss : 0.001028
(58,220) epoch loss : 0.016443
Epoch 59, lr 0.001

(59,220) 0 step loss : 0.001026
(59,220) epoch loss : 0.016421
Epoch 60, lr 0.001

(60,220) 0 step loss : 0.001017
(60,220) epoch loss : 0.016264
Epoch 61, lr 0.001

(61,220) 0 step loss : 0.001015
(61,220) epoch loss : 0.016233
Epoch 62, lr 0.001

(62,220) 0 step loss : 0.001017
(62,220) epoch loss : 0.016272
Epoch 63, lr 0.001

(63,220) 0 step loss : 0.001012
(63,220) epoch loss : 0.016185
Epoch 64, lr 0.001

(64,220) 0 step loss : 0.001010
(64,220) epoch loss : 0.016160
Epoch 65, lr 0.001

(65,220) 0 step loss : 0.001008
(65,220) epoch loss : 0.016135
Epoch 66, lr 0.001

(66,220) 0 step loss : 0.001009
(66,220) epoch loss : 0.016137
Epoch 67, lr 0.001

(67,220) 0 step loss : 0.001003
(67,220) epoch loss : 0.016053
Epoch 68, lr 0.001

(68,220) 0 step loss : 0.001002
(68,220) epoch loss : 0.016029
Epoch 69, lr 0.001

(69,220) 0 step loss : 0.001002
(69,220) epoch loss : 0.016026
Epoch 70, lr 0.001

(70,220) 0 step loss : 0.001001
(70,220) epoch loss : 0.016019
Epoch 71, lr 0.001

(71,220) 0 step loss : 0.000991
(71,220) epoch loss : 0.015857
Epoch 72, lr 0.001

(72,220) 0 step loss : 0.000993
(72,220) epoch loss : 0.015886
Epoch 73, lr 0.001

(73,220) 0 step loss : 0.000996
(73,220) epoch loss : 0.015940
Epoch 74, lr 0.001

(74,220) 0 step loss : 0.001011
(74,220) epoch loss : 0.016182
Epoch 75, lr 0.001

(75,220) 0 step loss : 0.001012
(75,220) epoch loss : 0.016190
Epoch 76, lr 0.001

(76,220) 0 step loss : 0.001003
(76,220) epoch loss : 0.016048
Epoch 77, lr 0.001

(77,220) 0 step loss : 0.001008
(77,220) epoch loss : 0.016132
Epoch 78, lr 0.001

(78,220) 0 step loss : 0.000998
(78,220) epoch loss : 0.015975
Epoch 79, lr 0.001

(79,220) 0 step loss : 0.001002
(79,220) epoch loss : 0.016036
Epoch 80, lr 0.001

(80,220) 0 step loss : 0.000991
(80,220) epoch loss : 0.015856
Epoch 81, lr 0.001

(81,220) 0 step loss : 0.000999
(81,220) epoch loss : 0.015981
Epoch 82, lr 0.001

(82,220) 0 step loss : 0.000995
(82,220) epoch loss : 0.015927
Epoch 83, lr 0.001

(83,220) 0 step loss : 0.000985
(83,220) epoch loss : 0.015756
Epoch 84, lr 0.001

(84,220) 0 step loss : 0.000984
(84,220) epoch loss : 0.015739
Epoch 85, lr 0.001

(85,220) 0 step loss : 0.000993
(85,220) epoch loss : 0.015895
Epoch 86, lr 0.001

(86,220) 0 step loss : 0.000981
(86,220) epoch loss : 0.015692
Epoch 87, lr 0.001

(87,220) 0 step loss : 0.000989
(87,220) epoch loss : 0.015819
Epoch 88, lr 0.001

(88,220) 0 step loss : 0.001003
(88,220) epoch loss : 0.016052
Epoch 89, lr 0.001

(89,220) 0 step loss : 0.000989
(89,220) epoch loss : 0.015819
Epoch 90, lr 0.001

(90,220) 0 step loss : 0.000982
(90,220) epoch loss : 0.015714
Epoch 91, lr 0.001

(91,220) 0 step loss : 0.000991
(91,220) epoch loss : 0.015854
Epoch 92, lr 0.001

(92,220) 0 step loss : 0.000986
(92,220) epoch loss : 0.015779
Epoch 93, lr 0.001

(93,220) 0 step loss : 0.000979
(93,220) epoch loss : 0.015661
Epoch 94, lr 0.001

(94,220) 0 step loss : 0.000993
(94,220) epoch loss : 0.015894
Epoch 95, lr 0.001

(95,220) 0 step loss : 0.000978
(95,220) epoch loss : 0.015644
Epoch 96, lr 0.001

(96,220) 0 step loss : 0.000988
(96,220) epoch loss : 0.015811
Epoch 97, lr 0.001

(97,220) 0 step loss : 0.000973
(97,220) epoch loss : 0.015570
Epoch 98, lr 0.001

(98,220) 0 step loss : 0.000974
(98,220) epoch loss : 0.015583
Epoch 99, lr 0.001

(99,220) 0 step loss : 0.000974
(99,220) epoch loss : 0.015577
Epoch 100, lr 0.001

(100,220) 0 step loss : 0.000964
(100,220) epoch loss : 0.015429
Epoch 101, lr 0.001

(101,220) 0 step loss : 0.000955
(101,220) epoch loss : 0.015278
Epoch 102, lr 0.001

(102,220) 0 step loss : 0.000961
(102,220) epoch loss : 0.015370
Epoch 103, lr 0.001

(103,220) 0 step loss : 0.000956
(103,220) epoch loss : 0.015298
Epoch 104, lr 0.001

(104,220) 0 step loss : 0.000962
(104,220) epoch loss : 0.015387
Epoch 105, lr 0.001

(105,220) 0 step loss : 0.000947
(105,220) epoch loss : 0.015155
Epoch 106, lr 0.001

(106,220) 0 step loss : 0.000945
(106,220) epoch loss : 0.015116
Epoch 107, lr 0.001

(107,220) 0 step loss : 0.000950
(107,220) epoch loss : 0.015195
Epoch 108, lr 0.001

(108,220) 0 step loss : 0.000940
(108,220) epoch loss : 0.015045
Epoch 109, lr 0.001

(109,220) 0 step loss : 0.000936
(109,220) epoch loss : 0.014977
Epoch 110, lr 0.001

(110,220) 0 step loss : 0.000940
(110,220) epoch loss : 0.015043
Epoch 111, lr 0.001

(111,220) 0 step loss : 0.000933
(111,220) epoch loss : 0.014921
Epoch 112, lr 0.001

(112,220) 0 step loss : 0.000925
(112,220) epoch loss : 0.014806
Epoch 113, lr 0.001

(113,220) 0 step loss : 0.000917
(113,220) epoch loss : 0.014678
Epoch 114, lr 0.001

(114,220) 0 step loss : 0.000931
(114,220) epoch loss : 0.014898
Epoch 115, lr 0.001

(115,220) 0 step loss : 0.000916
(115,220) epoch loss : 0.014656
Epoch 116, lr 0.001

(116,220) 0 step loss : 0.000926
(116,220) epoch loss : 0.014816
Epoch 117, lr 0.001

(117,220) 0 step loss : 0.000920
(117,220) epoch loss : 0.014717
Epoch 118, lr 0.001

(118,220) 0 step loss : 0.000925
(118,220) epoch loss : 0.014793
Epoch 119, lr 0.001

(119,220) 0 step loss : 0.000936
(119,220) epoch loss : 0.014982
Epoch 120, lr 0.001

(120,220) 0 step loss : 0.000939
(120,220) epoch loss : 0.015025
Epoch 121, lr 0.001

(121,220) 0 step loss : 0.000931
(121,220) epoch loss : 0.014899
Epoch 122, lr 0.001

(122,220) 0 step loss : 0.000935
(122,220) epoch loss : 0.014962
Epoch 123, lr 0.001

(123,220) 0 step loss : 0.000943
(123,220) epoch loss : 0.015095
Epoch 124, lr 0.001

(124,220) 0 step loss : 0.000922
(124,220) epoch loss : 0.014755
Epoch 125, lr 0.001

(125,220) 0 step loss : 0.000925
(125,220) epoch loss : 0.014794
Epoch 126, lr 0.001

(126,220) 0 step loss : 0.000909
(126,220) epoch loss : 0.014547
Epoch 127, lr 0.001

(127,220) 0 step loss : 0.000907
(127,220) epoch loss : 0.014510
Epoch 128, lr 0.001

(128,220) 0 step loss : 0.000907
(128,220) epoch loss : 0.014516
Epoch 129, lr 0.001

(129,220) 0 step loss : 0.000892
(129,220) epoch loss : 0.014280
Epoch 130, lr 0.001

(130,220) 0 step loss : 0.000888
(130,220) epoch loss : 0.014201
Epoch 131, lr 0.001

(131,220) 0 step loss : 0.000886
(131,220) epoch loss : 0.014174
Epoch 132, lr 0.001

(132,220) 0 step loss : 0.000888
(132,220) epoch loss : 0.014215
Epoch 133, lr 0.001

(133,220) 0 step loss : 0.000891
(133,220) epoch loss : 0.014251
Epoch 134, lr 0.001

(134,220) 0 step loss : 0.000880
(134,220) epoch loss : 0.014078
Epoch 135, lr 0.001

(135,220) 0 step loss : 0.000886
(135,220) epoch loss : 0.014174
Epoch 136, lr 0.001

(136,220) 0 step loss : 0.000884
(136,220) epoch loss : 0.014146
Epoch 137, lr 0.001

(137,220) 0 step loss : 0.000896
(137,220) epoch loss : 0.014335
Epoch 138, lr 0.001

(138,220) 0 step loss : 0.000882
(138,220) epoch loss : 0.014117
Epoch 139, lr 0.001

(139,220) 0 step loss : 0.000872
(139,220) epoch loss : 0.013947
Epoch 140, lr 0.001

(140,220) 0 step loss : 0.000875
(140,220) epoch loss : 0.014004
Epoch 141, lr 0.001

(141,220) 0 step loss : 0.000877
(141,220) epoch loss : 0.014030
Epoch 142, lr 0.001

(142,220) 0 step loss : 0.000880
(142,220) epoch loss : 0.014082
Epoch 143, lr 0.001

(143,220) 0 step loss : 0.000867
(143,220) epoch loss : 0.013876
Epoch 144, lr 0.001

(144,220) 0 step loss : 0.000870
(144,220) epoch loss : 0.013917
Epoch 145, lr 0.001

(145,220) 0 step loss : 0.000862
(145,220) epoch loss : 0.013785
Epoch 146, lr 0.001

(146,220) 0 step loss : 0.000859
(146,220) epoch loss : 0.013740
Epoch 147, lr 0.001

(147,220) 0 step loss : 0.000854
(147,220) epoch loss : 0.013659
Epoch 148, lr 0.001

(148,220) 0 step loss : 0.000850
(148,220) epoch loss : 0.013599
Epoch 149, lr 0.001

(149,220) 0 step loss : 0.000852
(149,220) epoch loss : 0.013635
Epoch 150, lr 0.001

(150,220) 0 step loss : 0.000846
(150,220) epoch loss : 0.013541
Epoch 151, lr 0.001

(151,220) 0 step loss : 0.000856
(151,220) epoch loss : 0.013691
Epoch 152, lr 0.001

(152,220) 0 step loss : 0.000851
(152,220) epoch loss : 0.013618
Epoch 153, lr 0.001

(153,220) 0 step loss : 0.000849
(153,220) epoch loss : 0.013578
Epoch 154, lr 0.001

(154,220) 0 step loss : 0.000846
(154,220) epoch loss : 0.013541
Epoch 155, lr 0.001

(155,220) 0 step loss : 0.000844
(155,220) epoch loss : 0.013505
Epoch 156, lr 0.001

(156,220) 0 step loss : 0.000838
(156,220) epoch loss : 0.013401
Epoch 157, lr 0.001

(157,220) 0 step loss : 0.000841
(157,220) epoch loss : 0.013458
Epoch 158, lr 0.001

(158,220) 0 step loss : 0.000832
(158,220) epoch loss : 0.013320
Epoch 159, lr 0.001

(159,220) 0 step loss : 0.000830
(159,220) epoch loss : 0.013281
Epoch 160, lr 0.001

(160,220) 0 step loss : 0.000828
(160,220) epoch loss : 0.013255
Epoch 161, lr 0.001

(161,220) 0 step loss : 0.000840
(161,220) epoch loss : 0.013447
Epoch 162, lr 0.001

(162,220) 0 step loss : 0.000837
(162,220) epoch loss : 0.013394
Epoch 163, lr 0.001

(163,220) 0 step loss : 0.000837
(163,220) epoch loss : 0.013389
Epoch 164, lr 0.001

(164,220) 0 step loss : 0.000839
(164,220) epoch loss : 0.013428
Epoch 165, lr 0.001

(165,220) 0 step loss : 0.000836
(165,220) epoch loss : 0.013374
Epoch 166, lr 0.001

(166,220) 0 step loss : 0.000825
(166,220) epoch loss : 0.013194
Epoch 167, lr 0.001

(167,220) 0 step loss : 0.000823
(167,220) epoch loss : 0.013176
Epoch 168, lr 0.001

(168,220) 0 step loss : 0.000823
(168,220) epoch loss : 0.013170
Epoch 169, lr 0.001

(169,220) 0 step loss : 0.000831
(169,220) epoch loss : 0.013301
Epoch 170, lr 0.0001

(170,220) 0 step loss : 0.000834
(170,220) epoch loss : 0.013341
Epoch 171, lr 0.0001

(171,220) 0 step loss : 0.000827
(171,220) epoch loss : 0.013224
Epoch 172, lr 0.0001

(172,220) 0 step loss : 0.000817
(172,220) epoch loss : 0.013073
Epoch 173, lr 0.0001

(173,220) 0 step loss : 0.000810
(173,220) epoch loss : 0.012961
Epoch 174, lr 0.0001

(174,220) 0 step loss : 0.000803
(174,220) epoch loss : 0.012844
Epoch 175, lr 0.0001

(175,220) 0 step loss : 0.000797
(175,220) epoch loss : 0.012759
Epoch 176, lr 0.0001

(176,220) 0 step loss : 0.000792
(176,220) epoch loss : 0.012669
Epoch 177, lr 0.0001

(177,220) 0 step loss : 0.000786
(177,220) epoch loss : 0.012581
Epoch 178, lr 0.0001

(178,220) 0 step loss : 0.000781
(178,220) epoch loss : 0.012503
Epoch 179, lr 0.0001

(179,220) 0 step loss : 0.000776
(179,220) epoch loss : 0.012413
Epoch 180, lr 0.0001

(180,220) 0 step loss : 0.000771
(180,220) epoch loss : 0.012337
Epoch 181, lr 0.0001

(181,220) 0 step loss : 0.000767
(181,220) epoch loss : 0.012270
Epoch 182, lr 0.0001

(182,220) 0 step loss : 0.000762
(182,220) epoch loss : 0.012197
Epoch 183, lr 0.0001

(183,220) 0 step loss : 0.000758
(183,220) epoch loss : 0.012120
Epoch 184, lr 0.0001

(184,220) 0 step loss : 0.000754
(184,220) epoch loss : 0.012060
Epoch 185, lr 0.0001

(185,220) 0 step loss : 0.000750
(185,220) epoch loss : 0.011992
Epoch 186, lr 0.0001

(186,220) 0 step loss : 0.000746
(186,220) epoch loss : 0.011931
Epoch 187, lr 0.0001

(187,220) 0 step loss : 0.000742
(187,220) epoch loss : 0.011865
Epoch 188, lr 0.0001

(188,220) 0 step loss : 0.000739
(188,220) epoch loss : 0.011817
Epoch 189, lr 0.0001

(189,220) 0 step loss : 0.000735
(189,220) epoch loss : 0.011758
Epoch 190, lr 0.0001

(190,220) 0 step loss : 0.000731
(190,220) epoch loss : 0.011703
Epoch 191, lr 0.0001

(191,220) 0 step loss : 0.000728
(191,220) epoch loss : 0.011645
Epoch 192, lr 0.0001

(192,220) 0 step loss : 0.000725
(192,220) epoch loss : 0.011594
Epoch 193, lr 0.0001

(193,220) 0 step loss : 0.000722
(193,220) epoch loss : 0.011547
Epoch 194, lr 0.0001

(194,220) 0 step loss : 0.000718
(194,220) epoch loss : 0.011493
Epoch 195, lr 0.0001

(195,220) 0 step loss : 0.000716
(195,220) epoch loss : 0.011455
Epoch 196, lr 0.0001

(196,220) 0 step loss : 0.000715
(196,220) epoch loss : 0.011440
Epoch 197, lr 0.0001

(197,220) 0 step loss : 0.000710
(197,220) epoch loss : 0.011359
Epoch 198, lr 0.0001

(198,220) 0 step loss : 0.000707
(198,220) epoch loss : 0.011312
Epoch 199, lr 0.0001

(199,220) 0 step loss : 0.000705
(199,220) epoch loss : 0.011273
Epoch 200, lr 0.0001

(200,220) 0 step loss : 0.000702
(200,220) epoch loss : 0.011229
Epoch 201, lr 0.0001

(201,220) 0 step loss : 0.000701
(201,220) epoch loss : 0.011224
Epoch 202, lr 0.0001

(202,220) 0 step loss : 0.000703
(202,220) epoch loss : 0.011241
Epoch 203, lr 0.0001

(203,220) 0 step loss : 0.000700
(203,220) epoch loss : 0.011204
Epoch 204, lr 0.0001

(204,220) 0 step loss : 0.000693
(204,220) epoch loss : 0.011092
Epoch 205, lr 0.0001

(205,220) 0 step loss : 0.000691
(205,220) epoch loss : 0.011064
Epoch 206, lr 0.0001

(206,220) 0 step loss : 0.000691
(206,220) epoch loss : 0.011064
Epoch 207, lr 0.0001

(207,220) 0 step loss : 0.000688
(207,220) epoch loss : 0.011010
Epoch 208, lr 0.0001

(208,220) 0 step loss : 0.000686
(208,220) epoch loss : 0.010972
Epoch 209, lr 0.0001

(209,220) 0 step loss : 0.000683
(209,220) epoch loss : 0.010935
Epoch 210, lr 1e-05

(210,220) 0 step loss : 0.000682
(210,220) epoch loss : 0.010910
Epoch 211, lr 1e-05

(211,220) 0 step loss : 0.000681
(211,220) epoch loss : 0.010896
Epoch 212, lr 1e-05

(212,220) 0 step loss : 0.000679
(212,220) epoch loss : 0.010872
Epoch 213, lr 1e-05

(213,220) 0 step loss : 0.000679
(213,220) epoch loss : 0.010859
Epoch 214, lr 1e-05

(214,220) 0 step loss : 0.000679
(214,220) epoch loss : 0.010861
Epoch 215, lr 1e-05

(215,220) 0 step loss : 0.000679
(215,220) epoch loss : 0.010859
Epoch 216, lr 1e-05

(216,220) 0 step loss : 0.000678
(216,220) epoch loss : 0.010848
Epoch 217, lr 1e-05

(217,220) 0 step loss : 0.000677
(217,220) epoch loss : 0.010837
Epoch 218, lr 1e-05

(218,220) 0 step loss : 0.000677
(218,220) epoch loss : 0.010832
Epoch 219, lr 1e-05

(219,220) 0 step loss : 0.000677
(219,220) epoch loss : 0.010828
Epoch 0, lr 0.0001

(0,300) 0 step loss : 0.002020
(0,300) epoch loss : 0.032323
Epoch 1, lr 0.0001

(1,300) 0 step loss : 0.001720
(1,300) epoch loss : 0.027513
Epoch 2, lr 0.0001

(2,300) 0 step loss : 0.001511
(2,300) epoch loss : 0.024169
Epoch 3, lr 0.0001

(3,300) 0 step loss : 0.001388
(3,300) epoch loss : 0.022207
Epoch 4, lr 0.0001

(4,300) 0 step loss : 0.001322
(4,300) epoch loss : 0.021147
Epoch 5, lr 0.0001

(5,300) 0 step loss : 0.001312
(5,300) epoch loss : 0.020995
Epoch 6, lr 0.0001

(6,300) 0 step loss : 0.001312
(6,300) epoch loss : 0.020987
Epoch 7, lr 0.0001

(7,300) 0 step loss : 0.001317
(7,300) epoch loss : 0.021070
Epoch 8, lr 0.0001

(8,300) 0 step loss : 0.001324
(8,300) epoch loss : 0.021188
Epoch 9, lr 0.0001

(9,300) 0 step loss : 0.001328
(9,300) epoch loss : 0.021251
Epoch 10, lr 0.0001

(10,300) 0 step loss : 0.001325
(10,300) epoch loss : 0.021207
Epoch 11, lr 0.0001

(11,300) 0 step loss : 0.001314
(11,300) epoch loss : 0.021029
Epoch 12, lr 0.0001

(12,300) 0 step loss : 0.001295
(12,300) epoch loss : 0.020717
Epoch 13, lr 0.0001

(13,300) 0 step loss : 0.001279
(13,300) epoch loss : 0.020463
Epoch 14, lr 0.0001

(14,300) 0 step loss : 0.001263
(14,300) epoch loss : 0.020203
Epoch 15, lr 0.0001

(15,300) 0 step loss : 0.001248
(15,300) epoch loss : 0.019970
Epoch 16, lr 0.0001

(16,300) 0 step loss : 0.001239
(16,300) epoch loss : 0.019819
Epoch 17, lr 0.0001

(17,300) 0 step loss : 0.001229
(17,300) epoch loss : 0.019668
Epoch 18, lr 0.0001

(18,300) 0 step loss : 0.001222
(18,300) epoch loss : 0.019557
Epoch 19, lr 0.0001

(19,300) 0 step loss : 0.001215
(19,300) epoch loss : 0.019441
Epoch 20, lr 0.0001

(20,300) 0 step loss : 0.001208
(20,300) epoch loss : 0.019331
Epoch 21, lr 0.0001

(21,300) 0 step loss : 0.001201
(21,300) epoch loss : 0.019217
Epoch 22, lr 0.0001

(22,300) 0 step loss : 0.001193
(22,300) epoch loss : 0.019091
Epoch 23, lr 0.0001

(23,300) 0 step loss : 0.001186
(23,300) epoch loss : 0.018977
Epoch 24, lr 0.0001

(24,300) 0 step loss : 0.001182
(24,300) epoch loss : 0.018913
Epoch 25, lr 0.0001

(25,300) 0 step loss : 0.001177
(25,300) epoch loss : 0.018835
Epoch 26, lr 0.0001

(26,300) 0 step loss : 0.001174
(26,300) epoch loss : 0.018788
Epoch 27, lr 0.0001

(27,300) 0 step loss : 0.001170
(27,300) epoch loss : 0.018712
Epoch 28, lr 0.0001

(28,300) 0 step loss : 0.001168
(28,300) epoch loss : 0.018689
Epoch 29, lr 0.0001

(29,300) 0 step loss : 0.001160
(29,300) epoch loss : 0.018556
Epoch 30, lr 0.0001

(30,300) 0 step loss : 0.001151
(30,300) epoch loss : 0.018415
Epoch 31, lr 0.0001

(31,300) 0 step loss : 0.001143
(31,300) epoch loss : 0.018291
Epoch 32, lr 0.0001

(32,300) 0 step loss : 0.001134
(32,300) epoch loss : 0.018144
Epoch 33, lr 0.0001

(33,300) 0 step loss : 0.001128
(33,300) epoch loss : 0.018044
Epoch 34, lr 0.0001

(34,300) 0 step loss : 0.001120
(34,300) epoch loss : 0.017914
Epoch 35, lr 0.0001

(35,300) 0 step loss : 0.001118
(35,300) epoch loss : 0.017893
Epoch 36, lr 0.0001

(36,300) 0 step loss : 0.001111
(36,300) epoch loss : 0.017784
Epoch 37, lr 0.0001

(37,300) 0 step loss : 0.001106
(37,300) epoch loss : 0.017694
Epoch 38, lr 0.0001

(38,300) 0 step loss : 0.001103
(38,300) epoch loss : 0.017646
Epoch 39, lr 0.0001

(39,300) 0 step loss : 0.001099
(39,300) epoch loss : 0.017584
Epoch 40, lr 0.0001

(40,300) 0 step loss : 0.001094
(40,300) epoch loss : 0.017503
Epoch 41, lr 0.0001

(41,300) 0 step loss : 0.001085
(41,300) epoch loss : 0.017367
Epoch 42, lr 0.0001

(42,300) 0 step loss : 0.001080
(42,300) epoch loss : 0.017276
Epoch 43, lr 0.0001

(43,300) 0 step loss : 0.001076
(43,300) epoch loss : 0.017209
Epoch 44, lr 0.0001

(44,300) 0 step loss : 0.001067
(44,300) epoch loss : 0.017075
Epoch 45, lr 0.0001

(45,300) 0 step loss : 0.001066
(45,300) epoch loss : 0.017059
Epoch 46, lr 0.0001

(46,300) 0 step loss : 0.001057
(46,300) epoch loss : 0.016920
Epoch 47, lr 0.0001

(47,300) 0 step loss : 0.001052
(47,300) epoch loss : 0.016839
Epoch 48, lr 0.0001

(48,300) 0 step loss : 0.001054
(48,300) epoch loss : 0.016856
Epoch 49, lr 0.0001

(49,300) 0 step loss : 0.001048
(49,300) epoch loss : 0.016774
Epoch 50, lr 0.0001

(50,300) 0 step loss : 0.001049
(50,300) epoch loss : 0.016788
Epoch 51, lr 0.0001

(51,300) 0 step loss : 0.001044
(51,300) epoch loss : 0.016698
Epoch 52, lr 0.0001

(52,300) 0 step loss : 0.001034
(52,300) epoch loss : 0.016543
Epoch 53, lr 0.0001

(53,300) 0 step loss : 0.001031
(53,300) epoch loss : 0.016489
Epoch 54, lr 0.0001

(54,300) 0 step loss : 0.001027
(54,300) epoch loss : 0.016425
Epoch 55, lr 0.0001

(55,300) 0 step loss : 0.001020
(55,300) epoch loss : 0.016321
Epoch 56, lr 0.0001

(56,300) 0 step loss : 0.001013
(56,300) epoch loss : 0.016211
Epoch 57, lr 0.0001

